,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
2480,20200406,IL,12830632.0,0.25719699544028696,30.855845604487758,2.3927114424293365,490.56040263644064,406,2020-04-06
2478,20200406,IA,3046355.0,0.09847834543249227,24.882195279276385,0.8206528786041024,380.75010955715925,406,2020-04-06
2446,20200407,OH,11536504.0,0.216703431126102,21.323617622808435,1.4475789199223612,440.67076126355096,407,2020-04-07
2440,20200407,NE,1826341.0,0.1095085747951779,25.789269364264392,0.5475428739758895,397.40661793170057,407,2020-04-07
2434,20200407,MO,5988927.0,0.2337647461723945,35.63242630942071,0.8849665390812078,533.8017978846628,407,2020-04-07
2433,20200407,MN,5303925.0,0.07541584769769558,21.34268489844785,0.6410347054304124,551.6669259086431,407,2020-04-07
2432,20200407,MI,9883640.0,1.1938921288108428,34.43063486731609,8.549481769874257,661.4263570911122,407,2020-04-07
2426,20200407,KS,2853118.0,0.07009874810645757,15.071230842888378,0.9463330994371772,333.45974474241865,407,2020-04-07
2425,20200407,IN,6483802.0,0.524383687225489,39.683506683270096,2.668187585000282,443.6285993927637,407,2020-04-07
2424,20200407,IL,12830632.0,0.5689509293073014,45.12638192725035,2.961662371736638,535.6867845636909,407,2020-04-07
2422,20200407,IA,3046355.0,0.03282611514416409,36.73242284631962,0.8534789937482664,417.48253240347896,407,2020-04-07
2390,20200408,OH,11536504.0,0.22537156837114605,21.696347524345327,1.6729504882935073,462.3671087878962,408,2020-04-08
2384,20200408,NE,1826341.0,0.1095085747951779,38.492264040505034,0.6570514487710674,435.89888197220563,408,2020-04-08
2378,20200408,MO,5988927.0,0.08348740934728376,35.7493086825069,0.9684539484284914,569.5511065671697,408,2020-04-08
2377,20200408,MN,5303925.0,0.09426980962211946,28.148965153164873,0.7353045150525318,579.8158910618081,408,2020-04-08
2376,20200408,MI,9883640.0,1.1534212091901364,7.750181107365303,9.702902979064394,669.1765381984775,408,2020-04-08
2370,20200408,KS,2853118.0,0.38554311458551666,23.448031241610053,1.3318762140226938,356.9077759840287,408,2020-04-08
2369,20200408,IN,6483802.0,0.4626914887283726,32.465519459107476,3.130879073728655,476.09411885187114,408,2020-04-08
2368,20200408,IL,12830632.0,0.6390955644273797,49.366235427841744,3.6007579361640176,585.0530199915328,408,2020-04-08
2366,20200408,IA,3046355.0,0.03282611514416409,40.96699169991679,0.8863051088924305,458.4495241033957,408,2020-04-08
2334,20200409,OH,11536504.0,0.17336274490088158,22.918554875896547,1.8463132331943888,485.28566366379283,409,2020-04-09
2328,20200409,NE,1826341.0,0.1095085747951779,39.53259550105922,0.7665600235662453,475.43147747326486,409,2020-04-09
2322,20200409,MO,5988927.0,0.3172521555196782,73.20176051569838,1.2857061039481696,642.7528670828681,409,2020-04-09
2321,20200409,MN,5303925.0,0.20739358116866283,29.05395532553722,0.9426980962211947,608.8698463873452,409,2020-04-09
2320,20200409,MI,9883640.0,1.1837743989056664,9.257722863236621,10.88667737797006,678.4342610617141,409,2020-04-09
2314,20200409,KS,2853118.0,0.14019749621291513,20.74922943951144,1.472073710235609,377.6570054235401,409,2020-04-09
2313,20200409,IN,6483802.0,0.6477680842197217,19.494734725088765,3.7786471579483765,495.58885357695993,409,2020-04-09
2312,20200409,IL,12830632.0,0.5143939908805739,45.13417577559702,4.115151927044591,630.1871957671298,409,2020-04-09
2310,20200409,IA,3046355.0,0.06565223028832819,33.05589795017324,0.9519573391807585,491.5054220535689,409,2020-04-09
2278,20200410,OH,11536504.0,0.15602647041079343,22.433139190174078,2.002339703605182,507.71880285396685,410,2020-04-10
2272,20200410,NE,1826341.0,0.05475428739758895,36.740126843782186,0.8213143109638342,512.1716043170471,410,2020-04-10
2266,20200410,MO,5988927.0,0.3172521555196782,37.50254427879985,1.6029582594678478,680.2554113616679,410,2020-04-10
2265,20200410,MN,5303925.0,0.13197773347096725,30.16633907907823,1.074675829692162,639.0361854664234,410,2020-04-10
2264,20200410,MI,9883640.0,2.0741346305612103,50.48747222683141,12.96081200853127,728.9217332885455,410,2020-04-10
2258,20200410,KS,2853118.0,0.28039499242583027,22.396550020013194,1.7524687026614392,400.05355544355336,410,2020-04-10
