,date,state,Population,Per100kDeath,Per100kTests,Per100kDeathCumulative,Per100kTestsCumulative,Date,DateTime
11880,20200307,WI,5686986.0,0.0,0.0,0.0,0.5626882148118529,307,2020-03-07
11879,20200307,WA,6724540.0,0.014870905667896986,6.32013490885622,0.40151445303321864,31.109934657240494,307,2020-03-07
11878,20200307,VT,625741.0,0.0,4.15507374456844,0.0,4.15507374456844,307,2020-03-07
11877,20200307,VA,8001024.0,0.0,0.024996800409547576,0.0,80.70217012222436,307,2020-03-07
11876,20200307,UT,2763885.0,0.0,0.0,0.0,0.036180955430490054,307,2020-03-07
11875,20200307,TX,25145561.0,0.0,0.011930535174776971,0.0,0.03181476046607192,307,2020-03-07
11874,20200307,TN,6346105.0,0.0,0.0,0.0,0.0157576970440924,307,2020-03-07
11873,20200307,SD,814180.0,0.0,0.0,0.0,0.6141148149057948,307,2020-03-07
11872,20200307,SC,4625364.0,0.0,0.10809960037739733,0.0,0.21619920075479465,307,2020-03-07
11871,20200307,RI,1052567.0,0.0,1.2350757718986058,0.0,3.420209829873063,307,2020-03-07
11870,20200307,PA,12702379.0,0.0,0.01574508208265554,0.0,0.03149016416531108,307,2020-03-07
11869,20200307,OR,3831074.0,0.0,0.44373979724745594,0.0,2.1925966452227237,307,2020-03-07
11868,20200307,OK,3751351.0,0.0,0.0,0.0,0.026657063015430974,307,2020-03-07
11867,20200307,OH,11536504.0,0.0,0.008668137245044078,0.0,0.07801323520539671,307,2020-03-07
11866,20200307,NY,19378102.0,0.0,0.22189995697205023,0.0,0.8669579714256845,307,2020-03-07
11865,20200307,NV,2700551.0,0.0,0.037029480280135425,0.0,0.6665306450424376,307,2020-03-07
11864,20200307,NM,2059179.0,0.0,1.5540174020811206,0.0,2.331026103121681,307,2020-03-07
11863,20200307,NJ,8791894.0,0.0,0.03412234041948185,0.0,0.04549645389264247,307,2020-03-07
11862,20200307,NH,1316470.0,0.0,0.6836464180725729,0.0,3.4941928034820386,307,2020-03-07
11861,20200307,NE,1826341.0,0.0,0.05475428739758895,0.0,0.9855771731566011,307,2020-03-07
11860,20200307,ND,672591.0,0.0,0.0,0.0,0.0,307,2020-03-07
11859,20200307,NC,9535483.0,0.0,0.0,0.0,0.020974291496298616,307,2020-03-07
11858,20200307,MT,989415.0,0.0,0.0,0.0,1.1117680649676829,307,2020-03-07
11857,20200307,MS,2967297.0,0.0,0.0,0.0,0.0,307,2020-03-07
11856,20200307,MO,5988927.0,0.0,0.0,0.0,0.0,307,2020-03-07
11855,20200307,MN,5303925.0,0.0,0.24510150501751063,0.0,0.9426980962211947,307,2020-03-07
11854,20200307,MI,9883640.0,0.0,0.5868283345002449,0.0,2.084252360466387,307,2020-03-07
11853,20200307,ME,1328361.0,0.0,0.0,0.0,0.07528074070226391,307,2020-03-07
11852,20200307,MD,5773552.0,0.0,0.259805402289613,0.0,0.7620958467161983,307,2020-03-07
11851,20200307,MA,6547629.0,0.0,1.5272704058217104,0.0,3.8334487186124933,307,2020-03-07
11850,20200307,LA,4533372.0,0.0,0.0,0.0,0.0,307,2020-03-07
11849,20200307,KY,4339367.0,0.0,0.06913450740626456,0.0,0.23044835802088184,307,2020-03-07
11848,20200307,KS,2853118.0,0.0,0.24534561837260146,0.0,0.38554311458551666,307,2020-03-07
11847,20200307,IN,6483802.0,0.0,0.0,0.0,0.015423049624279088,307,2020-03-07
11846,20200307,IL,12830632.0,0.0,0.09352618016010435,0.0,1.5353881242950467,307,2020-03-07
11845,20200307,ID,1567582.0,0.0,0.0,0.0,1.722397935163838,307,2020-03-07
11844,20200307,IA,3046355.0,0.0,0.0,0.0,0.4923917271624614,307,2020-03-07
11843,20200307,HI,1360301.0,0.0,0.0,0.0,0.07351314157675397,307,2020-03-07
11842,20200307,GA,9687653.0,0.0,0.041289670470236704,0.0,0.061934505705355046,307,2020-03-07
11841,20200307,FL,18801310.0,0.0,0.26593891595851565,0.0,0.6063407283854158,307,2020-03-07
11840,20200307,DE,897934.0,0.0,0.0,0.0,1.1136675969503327,307,2020-03-07
11839,20200307,DC,601723.0,0.0,0.0,0.0,1.3295154082526346,307,2020-03-07
11838,20200307,CT,3574097.0,0.0,0.0,0.0,0.0,307,2020-03-07
11837,20200307,CO,5029196.0,0.0,0.0,0.0,0.0,307,2020-03-07
11836,20200307,CA,37253956.0,0.0,0.024158508159509286,0.0,1.425351981411048,307,2020-03-07
11835,20200307,AZ,6392017.0,0.0,0.20337868312928453,0.0,0.766581190256534,307,2020-03-07
11834,20200307,AR,2915918.0,0.0,0.0,0.0,0.20576710319014457,307,2020-03-07
11833,20200307,AL,4779736.0,0.0,0.0,0.0,0.0,307,2020-03-07
11832,20200307,AK,710231.0,0.0,0.5631970443419113,0.0,1.6895911330257338,307,2020-03-07
11831,20200308,WY,563626.0,0.0,0.0,0.0,0.0,308,2020-03-08
11830,20200308,WV,1852994.0,0.0,0.0,0.0,0.10793343097711056,308,2020-03-08
11829,20200308,WI,5686986.0,0.0,0.0,0.0,0.5626882148118529,308,2020-03-08
11828,20200308,WA,6724540.0,0.059483622671587945,8.030289060664373,0.4609980757048066,39.14022371790487,308,2020-03-08
11827,20200308,VT,625741.0,0.0,0.7990526431862385,0.0,4.954126387754678,308,2020-03-08
11826,20200308,VA,8001024.0,0.0,0.06249200102386895,0.0,80.76466212324821,308,2020-03-08
11825,20200308,UT,2763885.0,0.0,0.0,0.0,0.036180955430490054,308,2020-03-08
11824,20200308,TX,25145561.0,0.0,0.0,0.0,0.03181476046607192,308,2020-03-08
11823,20200308,TN,6346105.0,0.0,0.0315153940881848,0.0,0.0472730911322772,308,2020-03-08
11822,20200308,SD,814180.0,0.0,0.0,0.0,0.6141148149057948,308,2020-03-08
11821,20200308,SC,4625364.0,0.0,0.0,0.0,0.21619920075479465,308,2020-03-08
11820,20200308,RI,1052567.0,0.0,1.8051107435441165,0.0,5.2253205734171795,308,2020-03-08
11819,20200308,PA,12702379.0,0.0,0.01574508208265554,0.0,0.04723524624796662,308,2020-03-08
11818,20200308,OR,3831074.0,0.0,0.783070230436687,0.0,2.9756668756594102,308,2020-03-08
11817,20200308,OK,3751351.0,0.0,0.2132565041234478,0.0,0.23991356713887876,308,2020-03-08
11816,20200308,OH,11536504.0,0.0,0.008668137245044078,0.0,0.08668137245044079,308,2020-03-08
11815,20200308,NY,19378102.0,0.0,0.14965345935324315,0.0,1.0166114307789276,308,2020-03-08
11814,20200308,NV,2700551.0,0.0,0.0,0.0,0.6665306450424376,308,2020-03-08
11813,20200308,NM,2059179.0,0.0,0.0,0.0,2.331026103121681,308,2020-03-08
11812,20200308,NJ,8791894.0,0.0,0.37534574461430037,0.0,0.4208421985069429,308,2020-03-08
11811,20200308,NH,1316470.0,0.0,2.278821393575243,0.0,5.773014197057282,308,2020-03-08
11810,20200308,NE,1826341.0,0.0,0.0,0.0,0.9855771731566011,308,2020-03-08
11809,20200308,ND,672591.0,0.0,0.0,0.0,0.0,308,2020-03-08
11808,20200308,NC,9535483.0,0.0,0.0,0.0,0.020974291496298616,308,2020-03-08
11807,20200308,MT,989415.0,0.0,0.0,0.0,1.1117680649676829,308,2020-03-08
11806,20200308,MS,2967297.0,0.0,0.0,0.0,0.0,308,2020-03-08
11805,20200308,MO,5988927.0,0.0,0.01669748186945675,0.0,0.01669748186945675,308,2020-03-08
11804,20200308,MN,5303925.0,0.0,0.0,0.0,0.9426980962211947,308,2020-03-08
11803,20200308,MI,9883640.0,0.0,0.7183588232675411,0.0,2.8026111837339283,308,2020-03-08
11802,20200308,ME,1328361.0,0.0,0.0,0.0,0.07528074070226391,308,2020-03-08
11801,20200308,MD,5773552.0,0.0,0.19052396167904959,0.0,0.9526198083952477,308,2020-03-08
11800,20200308,MA,6547629.0,0.0,0.9316349475512433,0.0,4.765083666163736,308,2020-03-08
11799,20200308,LA,4533372.0,0.0,0.1102931769111381,0.0,0.1102931769111381,308,2020-03-08
11798,20200308,KY,4339367.0,0.0,0.09217934320835273,0.0,0.32262770122923456,308,2020-03-08
11797,20200308,KS,2853118.0,0.0,0.035049374053228784,0.0,0.4205924886387454,308,2020-03-08
11796,20200308,IN,6483802.0,0.0,0.015423049624279088,0.0,0.030846099248558176,308,2020-03-08
11795,20200308,IL,12830632.0,0.0,0.0,0.0,1.5353881242950467,308,2020-03-08
11794,20200308,ID,1567582.0,0.0,0.0,0.0,1.722397935163838,308,2020-03-08
11793,20200308,IA,3046355.0,0.0,0.0,0.0,0.4923917271624614,308,2020-03-08
11792,20200308,HI,1360301.0,0.0,0.0,0.0,0.07351314157675397,308,2020-03-08
11791,20200308,GA,9687653.0,0.0,0.010322417617559176,0.0,0.07225692332291422,308,2020-03-08
11790,20200308,FL,18801310.0,0.0,0.11169434470257657,0.0,0.7180350730879923,308,2020-03-08
